"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
111,17,0,0.926672436659358,1,1,13.9000865498904,13.5857362561487,13.2356434822767,12.8912737332858,12.3988509771251,11.6963069758301,10.8660515524116,10.0172260662963,9.02819770868272,7.8727224118971,5.92164478596389,0,1
112,17,0,0.926672436659358,1,1,14.8267589865497,14.512408692808,14.1623159189361,13.8179461699452,13.3255234137845,12.6229794124894,11.7927239890709,10.9438985029556,9.95487014534207,8.79939484855645,6.84831722262324,0,1
113,17,0,0.926672436659358,1,1,15.7534314232091,15.4390811294674,15.0889883555954,14.7446186066045,14.2521958504438,13.5496518491488,12.7193964257303,11.870570939615,10.8815425820014,9.72606728521581,7.7749896592826,0,1
114,17,0,0.486777913049989,1,1,16.6801038598684,16.3657535661268,16.0156607922548,15.6712910432639,15.1788682871032,14.4763242858081,13.6460688623896,12.7972433762744,11.8082150186608,10.6527397218752,8.70166209594196,0,1
115,17,0,0.0234416947203098,1,1,16.7269872493091,16.4126369555674,16.0625441816954,15.7181744327045,15.2257516765438,14.5232076752488,13.6929522518303,12.844126765715,11.8550984081014,10.6996231113158,8.74854548538258,0,1
116,19,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
117,19,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
118,19,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
119,19,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,1,1
120,19,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,1,1
121,19,0,0.926672436659358,1,1,4.63336218329679,4.3190118895551,3.96891911568314,3.62454936669222,3.13212661053151,2.42958260923649,1.59932718581799,0.750501699702703,0,0,0,1,1
122,19,0,0.69432406836501,1,1,5.56003461995615,5.24568432621446,4.8955915523425,4.55122180335157,4.05879904719087,3.35625504589584,2.52599962247734,1.67717413636206,0.688145778748492,0,0,1,1
123,19,1,0.230987850035332,1,1,6.02201032002681,5.70766002628512,5.35756725241316,5.01319750342224,4.52077474726153,3.81823074596651,2.98797532254801,2.13914983643272,1.15012147881916,0,0,1,1
124,20,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
125,20,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
126,20,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
