"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
102,14,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,1,1.08741892693898
103,14,0,0.926672436659358,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,1,1.08741892693898
104,14,0,0.926672436659358,1,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,1,1.08741892693898
105,14,0,0.926672436659358,1,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,1,1.08741892693898
106,14,0,0.926672436659358,1,1,5.56003461995615,5.17052318844009,4.80784426592997,4.41828429594665,3.84681871742428,3.25004220793561,2.48369448290659,1.67717413636206,0.824466895308783,0,0,1,1.08741892693898
107,14,0,0.926672436659358,1,1,6.48670705661551,6.09719562509945,5.73451670258933,5.34495673260601,4.77349115408364,4.17671464459497,3.41036691956595,2.60384657302142,1.75113933196814,0.507406468778432,0,1,1.08741892693898
108,14,0,0.926672436659358,1,1,7.41337949327487,7.02386806175881,6.66118913924869,6.27162916926537,5.700163590743,5.10338708125433,4.33703935622531,3.53051900968078,2.6778117686275,1.43407890543779,0,1,1.08741892693898
109,14,0,0.926672436659358,1,1,8.34005192993422,7.95054049841816,7.58786157590805,7.19830160592473,6.62683602740235,6.03005951791368,5.26371179288467,4.45719144634013,3.60448420528686,2.36075134209715,0.47423529197266,1,1.08741892693898
110,14,0,0.569300515598914,1,1,9.26672436659358,8.87721293507752,8.51453401256741,8.12497404258409,7.55350846406171,6.95673195457304,6.19038422954403,5.38386388299949,4.53115664194622,3.28742377875651,1.40090772863202,1,1.08741892693898
111,14,1,0.105964297269234,1,1,9.47865296113205,9.08914152961599,8.72646260710587,8.33690263712256,7.76543705860018,7.16866054911151,6.4023128240825,5.59579247753796,4.74308523648468,3.49935237329498,1.61283632317049,1,1.08741892693898
112,15,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.26112237302658
113,15,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,0,1.26112237302658
114,15,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,0,1.26112237302658
115,15,0,0.926672436659358,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,0,1.26112237302658
116,15,0,0.926672436659358,1,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,0,1.26112237302658
117,15,0,0.926672436659358,1,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,0,1.26112237302658
118,15,0,0.926672436659358,1,1,5.56003461995615,5.17052318844009,4.80784426592997,4.41828429594665,3.84681871742428,3.25004220793561,2.48369448290659,1.67717413636206,0.824466895308783,0,0,0,1.26112237302658
119,15,0,0.926672436659358,1,1,6.48670705661551,6.09719562509945,5.73451670258933,5.34495673260601,4.77349115408364,4.17671464459497,3.41036691956595,2.60384657302142,1.75113933196814,0.507406468778432,0,0,1.26112237302658
120,15,0,0.566008171450777,1,1,7.41337949327487,7.02386806175881,6.66118913924869,6.27162916926537,5.700163590743,5.10338708125433,4.33703935622531,3.53051900968078,2.6778117686275,1.43407890543779,0,0,1.26112237302658
121,15,0,0.102671953121098,1,1,7.61872339951706,7.229211968001,6.86653304549088,6.47697307550757,5.90550749698519,5.30873098749652,4.54238326246751,3.73586291592297,2.8831556748697,1.63942281167999,0,0,1.26112237302658
122,16,0,0.370558082358912,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.37997337187431
123,16,1,0.370558082358912,1,1,0.741116164717823,0.351604733201765,0,0,0,0,0,0,0,0,0,1,1.37997337187431
124,17,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1230019110021
125,17,0,0.926672436659358,1,1,0.926672436659358,0.5371610051433,0.174482082633181,0,0,0,0,0,0,0,0,0,1.1230019110021
126,17,0,0.926672436659358,1,1,1.85334487331872,1.46383344180266,1.10115451929254,0.711594549309222,0.140128970786848,0,0,0,0,0,0,0,1.1230019110021
127,17,0,0.926672436659358,1,1,2.78001730997807,2.39050587846202,2.0278269559519,1.63826698596858,1.06680140744621,0.470024897957537,0,0,0,0,0,0,1.1230019110021
128,17,0,0.926672436659358,1,1,3.70668974663743,3.31717831512137,2.95449939261126,2.56493942262794,1.99347384410556,1.3966973346169,0.630349609587878,0,0,0,0,0,1.1230019110021
129,17,0,0.926672436659358,1,1,4.63336218329679,4.24385075178073,3.88117182927061,3.4916118592873,2.92014628076492,2.32336977127625,1.55702204624724,0.750501699702703,0,0,0,0,1.1230019110021
130,17,0,0.926672436659358,1,1,5.56003461995615,5.17052318844009,4.80784426592997,4.41828429594665,3.84681871742428,3.25004220793561,2.48369448290659,1.67717413636206,0.824466895308783,0,0,0,1.1230019110021
131,17,0,0.926672436659358,1,1,6.48670705661551,6.09719562509945,5.73451670258933,5.34495673260601,4.77349115408364,4.17671464459497,3.41036691956595,2.60384657302142,1.75113933196814,0.507406468778432,0,0,1.1230019110021
132,17,0,0.926672436659358,1,1,7.41337949327487,7.02386806175881,6.66118913924869,6.27162916926537,5.700163590743,5.10338708125433,4.33703935622531,3.53051900968078,2.6778117686275,1.43407890543779,0,0,1.1230019110021
